run_name,method,pair,number_of_surfaces,call_pairs_tested,call_violations,put_pairs_tested,put_violations,call_violation_rate,put_violation_rate
rounded_mid,L1,AUDJPY,29,7590,3,0,0,0.0003952569169960474,0.0
rounded_mid,L1,AUDUSD,5,1781,2,0,0,0.0011229646266142617,0.0
rounded_mid,L1,EURGBP,18,6767,1,0,0,0.00014777597162701344,0.0
rounded_mid,L1,EURUSD,9,3726,3,0,0,0.0008051529790660225,0.0
rounded_mid,L1,GBPUSD,19,7141,9,0,0,0.0012603276851981516,0.0
rounded_mid,L1,NZDUSD,4,1343,0,0,0,0.0,0.0
rounded_mid,L1,USDCAD,9,3188,2,0,0,0.0006273525721455458,0.0
rounded_mid,L1,USDCHF,20,6572,3,0,0,0.0004564820450395618,0.0
rounded_mid,L1,USDJPY,33,9880,11,0,0,0.0011133603238866396,0.0
rounded_mid,L1,USDMXN,12,2789,2,0,0,0.0007171029042667623,0.0
rounded_mid,L1BA,AUDJPY,29,7590,1,0,0,0.00013175230566534913,0.0
rounded_mid,L1BA,AUDUSD,5,1781,2,0,0,0.0011229646266142617,0.0
rounded_mid,L1BA,EURGBP,18,6767,1,0,0,0.00014777597162701344,0.0
rounded_mid,L1BA,EURUSD,9,3726,3,0,0,0.0008051529790660225,0.0
rounded_mid,L1BA,GBPUSD,19,7141,9,0,0,0.0012603276851981516,0.0
rounded_mid,L1BA,NZDUSD,4,1343,0,0,0,0.0,0.0
rounded_mid,L1BA,USDCAD,9,3188,2,0,0,0.0006273525721455458,0.0
rounded_mid,L1BA,USDCHF,20,6572,3,0,0,0.0004564820450395618,0.0
rounded_mid,L1BA,USDJPY,33,9880,8,0,0,0.0008097165991902834,0.0
rounded_mid,L1BA,USDMXN,12,2789,2,0,0,0.0007171029042667623,0.0
rounded_mid,L1BA-PC,AUDJPY,29,7590,1,7590,2,0.00013175230566534913,0.00026350461133069827
rounded_mid,L1BA-PC,AUDUSD,5,1781,2,1781,0,0.0011229646266142617,0.0
rounded_mid,L1BA-PC,EURGBP,18,6767,1,6767,5,0.00014777597162701344,0.0007388798581350672
rounded_mid,L1BA-PC,EURUSD,9,3726,3,3726,0,0.0008051529790660225,0.0
rounded_mid,L1BA-PC,GBPUSD,19,7141,9,7141,0,0.0012603276851981516,0.0
rounded_mid,L1BA-PC,NZDUSD,4,1343,0,1343,0,0.0,0.0
rounded_mid,L1BA-PC,USDCAD,9,3188,2,3188,7,0.0006273525721455458,0.00219573400250941
rounded_mid,L1BA-PC,USDCHF,20,6572,3,6572,10,0.0004564820450395618,0.0015216068167985392
rounded_mid,L1BA-PC,USDJPY,33,9880,8,9880,10,0.0008097165991902834,0.0010121457489878543
rounded_mid,L1BA-PC,USDMXN,12,2789,2,2789,12,0.0007171029042667623,0.004302617425600574
rounded_mid,original_on_repaired_dates,AUDJPY,29,7590,56,7590,14,0.007378129117259552,0.001844532279314888
rounded_mid,original_on_repaired_dates,AUDUSD,5,1781,20,1781,0,0.011229646266142616,0.0
rounded_mid,original_on_repaired_dates,EURGBP,18,6767,5,6767,53,0.0007388798581350672,0.007832126496231712
rounded_mid,original_on_repaired_dates,EURUSD,9,3726,12,3726,7,0.00322061191626409,0.001878690284487386
rounded_mid,original_on_repaired_dates,GBPUSD,19,7141,48,7141,0,0.006721747654390141,0.0
rounded_mid,original_on_repaired_dates,NZDUSD,4,1343,2,1343,0,0.0014892032762472078,0.0
rounded_mid,original_on_repaired_dates,USDCAD,9,3188,3,3188,20,0.0009410288582183187,0.006273525721455458
rounded_mid,original_on_repaired_dates,USDCHF,20,6572,28,6572,22,0.00426049908703591,0.0033475349969567863
rounded_mid,original_on_repaired_dates,USDJPY,33,9880,47,9880,25,0.004757085020242915,0.0025303643724696357
rounded_mid,original_on_repaired_dates,USDMXN,12,2789,2,2787,33,0.0007171029042667623,0.011840688912809472
