cp_flag,total_violations,calendar_testable,calendar_not_testable,calendar_violations,calendar_consistent_violations,fails_at_k1,fails_at_k2,year,calendar_violation_share,calendar_consistent_share,calendar_not_testable_share
C,331,325,6,11,314,0,11,2000,0.033846153846153845,0.9661538461538461,0.01812688821752266
P,166,159,7,0,159,0,0,2000,0.0,1.0,0.04216867469879518
C,237,236,1,0,236,0,0,2001,0.0,1.0,0.004219409282700422
P,95,91,4,0,91,0,0,2001,0.0,1.0,0.042105263157894736
C,370,367,3,0,367,0,0,2002,0.0,1.0,0.008108108108108109
P,72,69,3,0,69,0,0,2002,0.0,1.0,0.041666666666666664
C,145,145,0,0,145,0,0,2003,0.0,1.0,0.0
P,454,451,3,0,451,0,0,2003,0.0,1.0,0.006607929515418502
C,1242,1229,13,20,1209,0,20,2004,0.01627339300244101,0.983726606997559,0.010466988727858293
P,2142,2111,31,0,2111,0,0,2004,0.0,1.0,0.014472455648926238
C,1774,1768,6,0,1768,0,0,2005,0.0,1.0,0.0033821871476888386
P,5555,5450,105,0,5450,0,0,2005,0.0,1.0,0.018901890189018902
C,3613,3606,7,122,3484,0,122,2006,0.03383250138657792,0.9661674986134221,0.0019374481040686411
P,9895,9664,231,2,9662,2,0,2006,0.00020695364238410596,0.9997930463576159,0.023345123799898938
C,2762,2733,29,70,2663,0,70,2007,0.02561287961946579,0.9743871203805342,0.010499637943519189
P,7204,6989,215,0,6989,0,0,2007,0.0,1.0,0.029844530816213216
C,19153,19022,131,661,18361,2,661,2008,0.03474923772473978,0.9652507622752602,0.006839659583355088
P,3618,3492,126,0,3492,0,0,2008,0.0,1.0,0.03482587064676617
C,8477,8429,48,48,8381,0,48,2009,0.005694625696998458,0.9943053743030016,0.00566238055916008
P,11800,11525,275,0,11525,0,0,2009,0.0,1.0,0.023305084745762712
C,8622,8553,69,224,8329,1,224,2010,0.026189641061615806,0.9738103589383842,0.008002783576896311
P,9254,9021,233,70,8951,70,0,2010,0.00775967187673207,0.9922403281232679,0.02517830127512427
C,10015,9905,110,147,9758,1,147,2011,0.014840989399293287,0.9851590106007068,0.010983524712930605
P,16127,15766,361,46,15720,46,0,2011,0.002917670937460358,0.9970823290625397,0.02238482048738141
C,20466,20333,133,741,19592,7,741,2012,0.03644322038066198,0.963556779619338,0.006498583015733412
P,37536,36042,1494,155,35887,154,5,2012,0.004300538260917818,0.9956994617390822,0.03980179028132992
C,27503,27479,24,1017,26462,7,1017,2013,0.037010080425051856,0.9629899195749482,0.0008726320765007453
P,121872,119158,2714,700,118458,700,4,2013,0.005874553114352372,0.9941254468856476,0.022269266115268478
C,79545,79141,404,3622,75519,33,3616,2014,0.04576641690147964,0.9542335830985204,0.005078886165063801
P,335539,325252,10287,5025,320227,5019,121,2014,0.015449559111089247,0.9845504408889107,0.030658135119911546
C,222235,220129,2106,18970,201159,172,18956,2015,0.08617674181956943,0.9138232581804305,0.00947645510383153
P,190296,185405,4891,4711,180694,4708,51,2015,0.025409239233030394,0.9745907607669696,0.025702064152688442
C,294597,294263,334,6531,287732,28,6529,2016,0.022194431511946795,0.9778055684880532,0.0011337522106470875
P,332245,327580,4665,1795,325785,1795,37,2016,0.005479577507784358,0.9945204224922156,0.014040843353549338
C,404752,404284,468,10071,394213,636,10047,2017,0.024910706335150537,0.9750892936648494,0.0011562635885678143
P,1105605,1092160,13445,6585,1085575,6584,168,2017,0.006029336360972751,0.9939706636390272,0.01216076265935845
C,180181,180035,146,14489,165546,4841,14464,2018,0.08047879578970756,0.9195212042102925,0.0008102963131517752
P,1342383,1327032,15351,55237,1271795,55149,33624,2018,0.04162446723213909,0.9583755327678609,0.011435633496550537
C,34307,34302,5,505,33797,13,505,2019,0.014722173634190426,0.9852778263658096,0.00014574285131314308
P,473396,470074,3322,785,469289,785,6,2019,0.0016699498376851305,0.9983300501623149,0.007017380797471884
C,301900,301791,109,16655,285136,1509,16618,2020,0.05518719908811064,0.9448128009118893,0.00036104670420669097
P,819813,815117,4696,19392,795725,19373,10141,2020,0.02379044971458085,0.9762095502854191,0.005728135562622208
C,55074,55070,4,462,54608,4,462,2021,0.008389322680225167,0.9916106773197748,0.0000726295529651015
P,2225488,2221666,3822,6515,2215151,6510,121,2021,0.002932484000745387,0.9970675159992546,0.0017173761440187501
C,25200,25179,21,2193,22986,139,2163,2022,0.08709638984868343,0.9129036101513166,0.0008333333333333334
P,938848,936492,2356,3226,933266,3210,275,2022,0.003444770483890946,0.9965552295161091,0.0025094584000818023
C,37428,37375,53,3106,34269,1302,3106,2023,0.08310367892976589,0.9168963210702341,0.001416052153467992
P,8479337,8465414,13923,7227,8458187,7227,416,2023,0.0008537089857625392,0.9991462910142375,0.001641991584955286
C,121662,121611,51,6040,115571,962,6040,2024,0.049666559768442,0.950333440231558,0.00041919416087192387
P,15997356,15965605,31751,22965,15942640,22964,2700,2024,0.0014384046204324859,0.9985615953795676,0.0019847654824959823
C,78417,78338,79,11397,66941,1390,11397,2025,0.1454849498327759,0.8545150501672241,0.001007434612392721
P,4293789,4286671,7118,13559,4273112,13545,4830,2025,0.0031630605661129583,0.9968369394338871,0.0016577433124916013
