year,file,file_size_mb,first_date,last_date,number_of_dates,has_am_settlement_column,has_delta_column
2000,optionMetricsSpx2000.csv,21.041719,2000-01-03,2000-12-29,252,true,true
2001,optionMetricsSpx2001.csv,20.213353,2001-01-02,2001-12-31,248,true,true
2002,optionMetricsSpx2002.csv,21.335897,2002-01-02,2002-12-31,252,true,true
2003,optionMetricsSpx2003.csv,20.994309,2003-01-02,2003-12-31,252,true,true
2004,optionMetricsSpx2004.csv,22.3017,2004-01-02,2004-12-31,252,true,true
2005,optionMetricsSpx2005.csv,24.009355,2005-01-03,2005-12-30,252,true,true
2006,optionMetricsSpx2006.csv,27.441745,2006-01-03,2006-12-29,251,true,true
2007,optionMetricsSpx2007.csv,36.220034,2007-01-03,2007-12-31,251,true,true
2008,optionMetricsSpx2008.csv,51.337331,2008-01-02,2008-12-31,253,true,true
2009,optionMetricsSpx2009.csv,68.427197,2009-01-02,2009-12-31,252,true,true
2010,optionMetricsSpx2010.csv,78.017844,2010-01-04,2010-12-31,252,true,true
2011,optionMetricsSpx2011.csv,84.851191,2011-01-03,2011-12-30,252,true,true
2012,optionMetricsSpx2012.csv,106.994029,2012-01-03,2012-12-31,250,true,true
2013,optionMetricsSpx2013.csv,136.359124,2013-01-02,2013-12-31,252,true,true
2014,optionMetricsSpx2014.csv,210.034084,2014-01-02,2014-12-31,252,true,true
2015,optionMetricsSpx2015.csv,326.729746,2015-01-02,2015-12-31,252,true,true
2016,optionMetricsSpx2016.csv,314.090721,2016-01-04,2016-12-30,252,true,true
2017,optionMetricsSpx2017.csv,395.853085,2017-01-03,2017-12-29,251,true,true
2018,optionMetricsSpx2018.csv,546.403175,2018-01-02,2018-12-31,251,true,true
2019,optionMetricsSpx2019.csv,593.28445,2019-01-02,2019-12-31,252,true,true
2020,optionMetricsSpx2020.csv,721.253387,2020-01-02,2020-12-31,253,true,true
2021,optionMetricsSpx2021.csv,863.196026,2021-01-04,2021-12-31,252,true,true
2022,optionMetricsSpx2022.csv,839.265808,2022-01-03,2022-12-30,251,true,true
2023,optionMetricsSpx2023.csv,806.537815,2023-01-03,2023-12-29,250,true,true
2024,optionMetricsSpx2024.csv,995.519895,2024-01-02,2024-12-31,252,true,true
2025,optionMetricsSpx2025.csv,689.070281,2025-01-02,2025-08-29,165,true,true
