sample,cp_flag,liquidity,outcome,trading_days,count,share_of_all_episodes
full,C,all,corrected,1,343209,0.23567287924004357
full,C,all,corrected,2,145199,0.0997044552816945
full,C,all,corrected,3,79680,0.05471422666027602
full,C,all,corrected,4,56064,0.038497720927230354
full,C,all,corrected,5,36226,0.024875471573734424
full,C,all,corrected,6,22940,0.01575231374983348
full,C,all,corrected,7,18442,0.012663651707690892
full,C,all,corrected,8,12054,0.008277174801242057
full,C,all,corrected,9,9575,0.0065749086379536
full,C,all,corrected,10,5827,0.004001252494345235
full,C,all,corrected,11,3927,0.0026965708847252
full,C,all,corrected,12,4569,0.003137415933870496
full,C,all,corrected,13,3323,0.0022818194677723044
full,C,all,corrected,14,2647,0.0018176274845601232
full,C,all,corrected,15,2257,0.0015498244173223264
full,C,all,corrected,16,1609,0.0011048593209887563
full,C,all,corrected,17,1633,0.0011213395097418517
full,C,all,corrected,18,1342,0.0009215172211105724
full,C,all,corrected,19,1316,0.0009036636832947194
full,C,all,corrected,20,656,0.00045045849258460173
full,C,all,corrected,21,654,0.0004490851435218438
full,C,all,corrected,22,387,0.00026574304364365985
full,C,all,corrected,23,337,0.00023140931707471156
full,C,all,corrected,24,570,0.0003914044828860107
full,C,all,corrected,25,427,0.0002932100248988185
full,C,all,corrected,26,212,0.0001455750006523408
full,C,all,corrected,27,203,0.00013939492986993012
full,C,all,corrected,28,253,0.0001737286564388784
full,C,all,corrected,29,218,0.0001496950478406146
full,C,all,corrected,30,159,0.00010918125048925561
full,C,all,corrected,31,91,0.00006248738235548591
full,C,all,corrected,32,159,0.00010918125048925561
full,C,all,corrected,33,99,0.00006798077860651763
full,C,all,corrected,34,87,0.000059740684229970047
full,C,all,corrected,35,45,0.00003090035391205347
full,C,all,corrected,36,75,0.00005150058985342245
full,C,all,corrected,37,32,0.000021973585004126915
full,C,all,corrected,38,37,0.000025406957661021746
full,C,all,corrected,39,40,0.00002746698125515864
full,C,all,corrected,40,53,0.0000363937501630852
full,C,all,corrected,41,20,0.00001373349062757932
full,C,all,corrected,42,31,0.000021286910472747948
full,C,all,corrected,43,30,0.00002060023594136898
full,C,all,corrected,44,42,0.000028840330317916576
full,C,all,corrected,45,56,0.0000384537737572221
full,C,all,corrected,46,12,8.240094376547593e-6
full,C,all,corrected,47,24,0.000016480188753095187
full,C,all,corrected,48,13,8.926768907926559e-6
full,C,all,corrected,49,13,8.926768907926559e-6
full,C,all,corrected,50,24,0.000016480188753095187
full,C,all,corrected,51,38,0.00002609363219240071
full,C,all,corrected,52,68,0.000046693868133769694
full,C,all,corrected,53,47,0.000032273702974811406
full,C,all,corrected,54,17,0.000011673467033442423
full,C,all,corrected,55,43,0.00002952700484929554
full,C,all,corrected,56,114,0.00007828089657720213
full,C,all,corrected,57,36,0.000024720283129642778
full,C,all,corrected,58,211,0.00014488832612096183
full,C,all,corrected,59,31,0.000021286910472747948
full,C,all,corrected,60,59,0.000040513797351359
full,C,all,corrected,61,11,7.553419845168627e-6
full,C,all,corrected,62,7,4.806721719652762e-6
full,C,all,corrected,63,12,8.240094376547593e-6
full,C,all,corrected,64,6,4.120047188273797e-6
full,C,all,corrected,65,7,4.806721719652762e-6
full,C,all,corrected,66,21,0.000014420165158958288
full,C,all,corrected,67,4,2.7466981255158644e-6
full,C,all,corrected,68,20,0.00001373349062757932
full,C,all,corrected,69,14,9.613443439305525e-6
full,C,all,corrected,70,4,2.7466981255158644e-6
full,C,all,corrected,71,4,2.7466981255158644e-6
full,C,all,corrected,72,6,4.120047188273797e-6
full,C,all,corrected,73,4,2.7466981255158644e-6
full,C,all,corrected,74,9,6.1800707824106945e-6
full,C,all,corrected,76,3,2.0600235941368983e-6
full,C,all,corrected,77,5,3.43337265689483e-6
full,C,all,corrected,78,3,2.0600235941368983e-6
full,C,all,corrected,79,1,6.866745313789661e-7
full,C,all,corrected,80,2,1.3733490627579322e-6
full,C,all,corrected,81,2,1.3733490627579322e-6
full,C,all,corrected,82,4,2.7466981255158644e-6
full,C,all,corrected,83,1,6.866745313789661e-7
full,C,all,corrected,84,2,1.3733490627579322e-6
full,C,all,corrected,85,4,2.7466981255158644e-6
full,C,all,corrected,86,5,3.43337265689483e-6
full,C,all,corrected,87,2,1.3733490627579322e-6
full,C,all,corrected,88,1,6.866745313789661e-7
full,C,all,corrected,89,1,6.866745313789661e-7
full,C,all,corrected,92,1,6.866745313789661e-7
full,C,all,corrected,93,1,6.866745313789661e-7
full,C,all,corrected,94,1,6.866745313789661e-7
full,C,all,corrected,96,1,6.866745313789661e-7
full,C,all,corrected,97,2,1.3733490627579322e-6
full,C,all,corrected,98,1,6.866745313789661e-7
full,C,all,corrected,100,1,6.866745313789661e-7
full,C,all,corrected,103,2,1.3733490627579322e-6
full,C,all,corrected,105,5,3.43337265689483e-6
full,C,all,corrected,109,3,2.0600235941368983e-6
full,C,all,corrected,110,2,1.3733490627579322e-6
full,C,all,corrected,113,1,6.866745313789661e-7
full,C,all,corrected,114,2,1.3733490627579322e-6
full,C,all,corrected,115,2,1.3733490627579322e-6
full,C,all,corrected,119,2,1.3733490627579322e-6
full,C,all,corrected,121,2,1.3733490627579322e-6
full,C,all,corrected,122,1,6.866745313789661e-7
full,C,all,corrected,127,1,6.866745313789661e-7
full,C,all,corrected,131,1,6.866745313789661e-7
full,C,all,corrected,134,2,1.3733490627579322e-6
full,C,all,corrected,150,1,6.866745313789661e-7
full,C,all,corrected,158,1,6.866745313789661e-7
full,C,all,corrected,159,3,2.0600235941368983e-6
full,C,all,corrected,173,1,6.866745313789661e-7
full,C,all,corrected,175,1,6.866745313789661e-7
full,C,all,corrected,177,1,6.866745313789661e-7
full,C,all,corrected,178,1,6.866745313789661e-7
full,C,all,corrected,183,1,6.866745313789661e-7
full,C,all,corrected,188,1,6.866745313789661e-7
full,C,all,corrected,194,1,6.866745313789661e-7
full,P,all,corrected,1,4181025,0.16943456082082833
full,P,all,corrected,2,1850882,0.0750063390678545
full,P,all,corrected,3,986453,0.03997565927622738
full,P,all,corrected,4,587292,0.023799800788941925
full,P,all,corrected,5,357500,0.01448756118259186
full,P,all,corrected,6,204102,0.008271161433536681
full,P,all,corrected,7,139655,0.005659469529943681
full,P,all,corrected,8,103517,0.004194989848778634
full,P,all,corrected,9,85479,0.0034640062722427123
full,P,all,corrected,10,79264,0.003212145593222269
full,P,all,corrected,11,59468,0.0024099196878499935
full,P,all,corrected,12,40115,0.0016256462009501327
full,P,all,corrected,13,26498,0.001073822087318375
full,P,all,corrected,14,20234,0.000819975700611367
full,P,all,corrected,15,18415,0.000746261368328473
full,P,all,corrected,16,18969,0.0007687120225806574
full,P,all,corrected,17,10358,0.0004197542901518503
full,P,all,corrected,18,6450,0.0002613839709866224
full,P,all,corrected,19,5795,0.0002348403274213142
full,P,all,corrected,20,5394,0.00021858994410881258
full,P,all,corrected,21,3531,0.00014309252737267653
full,P,all,corrected,22,2880,0.00011671098239402674
full,P,all,corrected,23,2191,0.00008878950084212242
full,P,all,corrected,24,2085,0.0000844938882956756
full,P,all,corrected,25,2177,0.00008822215578881812
full,P,all,corrected,26,1609,0.00006520415648332952
full,P,all,corrected,27,1703,0.00006901347326980122
full,P,all,corrected,28,1521,0.00006163798757684537
full,P,all,corrected,29,2452,0.00009936643362158109
full,P,all,corrected,30,1595,0.00006463681143002522
full,P,all,corrected,31,1280,0.00005187154773067855
full,P,all,corrected,32,786,0.00003185237227836979
full,P,all,corrected,33,757,0.00003067715752509661
full,P,all,corrected,34,562,0.00002277485142550105
full,P,all,corrected,35,732,0.000029664041358481794
full,P,all,corrected,36,510,0.000020667569798942235
full,P,all,corrected,37,250,0.000010131161666148154
full,P,all,corrected,38,220,8.915422266210376e-6
full,P,all,corrected,39,236,9.563816612843857e-6
full,P,all,corrected,40,253,0.000010252735606141932
full,P,all,corrected,41,182,7.375485692955856e-6
full,P,all,corrected,42,131,5.308728713061633e-6
full,P,all,corrected,43,263,0.000010657982072787858
full,P,all,corrected,44,209,8.469651152899856e-6
full,P,all,corrected,45,138,5.592401239713781e-6
full,P,all,corrected,46,66,2.6746266798631127e-6
full,P,all,corrected,47,135,5.470827299720003e-6
full,P,all,corrected,48,97,3.930890726465484e-6
full,P,all,corrected,49,79,3.2014470865028164e-6
full,P,all,corrected,50,59,2.3909541532109642e-6
full,P,all,corrected,51,70,2.836725266521483e-6
full,P,all,corrected,52,122,4.944006893080299e-6
full,P,all,corrected,53,68,2.7556759731922978e-6
full,P,all,corrected,54,81,3.282496379832002e-6
full,P,all,corrected,55,48,1.9451830399004456e-6
full,P,all,corrected,56,13,5.26820406639704e-7
full,P,all,corrected,57,56,2.2693802132171864e-6
full,P,all,corrected,58,36,1.4588872799253342e-6
full,P,all,corrected,59,26,1.053640813279408e-6
full,P,all,corrected,60,15,6.078696999688892e-7
full,P,all,corrected,61,22,8.915422266210375e-7
full,P,all,corrected,62,40,1.6209858665837046e-6
full,P,all,corrected,63,114,4.619809719763558e-6
full,P,all,corrected,64,76,3.0798731465090386e-6
full,P,all,corrected,65,52,2.107281626558816e-6
full,P,all,corrected,66,46,1.8641337465712603e-6
full,P,all,corrected,67,30,1.2157393999377785e-6
full,P,all,corrected,68,14,5.673450533042966e-7
full,P,all,corrected,69,18,7.294436399626671e-7
full,P,all,corrected,70,12,4.862957599751114e-7
full,P,all,corrected,71,35,1.4183626332607414e-6
full,P,all,corrected,72,37,1.4994119265899267e-6
full,P,all,corrected,73,22,8.915422266210375e-7
full,P,all,corrected,74,6,2.431478799875557e-7
full,P,all,corrected,75,14,5.673450533042966e-7
full,P,all,corrected,76,5,2.0262323332296307e-7
full,P,all,corrected,77,7,2.836725266521483e-7
full,P,all,corrected,78,10,4.0524646664592615e-7
full,P,all,corrected,79,11,4.4577111331051875e-7
full,P,all,corrected,80,15,6.078696999688892e-7
full,P,all,corrected,81,3,1.2157393999377785e-7
full,P,all,corrected,82,5,2.0262323332296307e-7
full,P,all,corrected,83,3,1.2157393999377785e-7
full,P,all,corrected,84,9,3.6472181998133355e-7
full,P,all,corrected,85,5,2.0262323332296307e-7
full,P,all,corrected,86,7,2.836725266521483e-7
