cp_flag,T1_week_start,T2_week_start,pairs_tested,violations,violation_rate
C,0,0,12467327,56684,0.004546604095649372
C,0,7,43051893,103201,0.002397130365440609
C,0,14,35005573,44975,0.0012847954238600807
C,0,21,27257290,23334,0.000856064561077055
C,0,28,20159583,16947,0.0008406423882874959
C,0,35,13537962,12843,0.0009486656854259157
C,0,42,10447857,6749,0.0006459697907427332
C,0,49,8077442,4963,0.0006144271911825551
C,0,56,6317832,3135,0.0004962145242228663
C,0,63,5674383,2885,0.0005084253213080612
C,0,70,4732180,2078,0.0004391210816156613
C,0,77,4121929,812,0.00019699514474897555
C,0,84,3583178,428,0.00011944703835533708
C,0,91,3624652,1012,0.00027919921691792757
C,0,98,2720047,626,0.00023014308208644925
C,0,105,2255530,217,0.00009620798659295155
C,0,112,1833816,152,0.0000828872689517378
C,0,119,1618131,108,0.00006674366908488867
C,0,126,1505134,295,0.0001959958382443025
C,0,133,1329288,54,0.00004062325094336216
C,0,140,1208017,68,0.00005629059855945736
C,0,147,1079072,39,0.000036142166602413926
C,0,154,997223,94,0.00009426176492118614
C,0,161,877229,44,0.000050157940514962455
C,0,168,846415,32,0.00003780651335337866
C,0,175,654725,62,0.0000946962465157127
C,0,182,512250,78,0.00015226939970717422
C,0,189,438828,34,0.00007747910343004549
C,0,196,355057,19,0.00005351253460711942
C,0,203,361021,2,5.539843942596137e-6
C,0,210,320933,38,0.00011840477607475703
C,0,217,307457,11,0.00003577736073662333
C,0,224,308194,109,0.00035367333562626136
C,0,231,283642,23,0.00008108813222301351
C,0,238,285951,20,0.00006994205300908198
C,0,245,333940,28,0.00008384739773612026
C,0,252,288226,9,0.00003122549665887186
C,0,259,262972,5,0.000019013431087720367
C,0,266,273467,10,0.0000365674834623556
C,0,273,285823,46,0.00016093876280075432
C,0,280,275026,24,0.0000872644768131013
C,0,287,218237,12,0.000054986093100619965
C,0,294,214040,6,0.000028032143524574846
C,0,301,192608,30,0.00015575677022761257
C,0,308,208209,11,0.00005283152985701867
C,0,315,199050,102,0.0005124340617935192
C,0,322,206199,17,0.00008244462873243809
C,0,329,172825,16,0.00009257919861131202
C,0,336,210953,42,0.0001990964812067143
C,0,343,210865,47,0.00022289142342256894
C,0,350,224399,6,0.00002673808706812419
C,0,357,235073,3,0.000012761993082999749
C,0,364,276658,21,0.00007590599223590137
C,0,371,182404,3,0.00001644700774105831
C,0,378,116552,1,8.579861349440594e-6
C,0,385,89758,2,0.00002228213641123911
C,0,392,75034,13,0.00017325479116134018
C,0,399,80510,3,0.000037262451869333004
C,0,406,70606,0,0.0
C,0,413,62673,2,0.0000319116685015876
C,0,420,45040,4,0.00008880994671403197
C,0,427,58056,15,0.0002583712277800744
C,0,434,54223,4,0.00007376943363517327
C,0,441,37876,0,0.0
C,0,448,40845,3,0.00007344840249724569
C,0,455,51736,16,0.0003092624091541673
C,0,462,33139,7,0.00021123147952563446
C,0,469,27496,0,0.0
C,0,476,29127,2,0.00006866481271672331
C,0,483,19070,7,0.00036706869428421607
C,0,490,19054,1,0.000052482418389839406
C,0,497,21027,4,0.0001902316069815
C,0,504,26348,1,0.000037953544861090024
C,0,511,22544,1,0.00004435770049680625
C,0,518,21466,12,0.0005590235721606261
C,0,525,17778,0,0.0
C,0,532,11486,0,0.0
C,0,539,21137,8,0.00037848322846193875
C,0,546,28787,1,0.000034737902525445515
C,0,553,20222,1,0.00004945109286915241
C,0,560,13598,0,0.0
C,0,567,12931,1,0.00007733353955610548
C,0,574,12849,0,0.0
