number_of_dates,call_pairs_tested,call_violations,call_violation_rate,put_pairs_tested,put_violations,put_violation_rate,year
252,95844,331,0.0034535286507240935,133324,166,0.001245087156100927,2000
248,115115,237,0.0020588107544629282,198100,95,0.0004795557799091368,2001
252,165130,370,0.002240658874825895,251157,72,0.00028667327607830956,2002
252,179117,145,0.00080952673392252,261116,454,0.0017386908500436587,2003
252,193125,1242,0.006431067961165049,302514,2142,0.0070806640353834865,2004
252,213937,1774,0.008292160776303304,323850,5555,0.017153002933456847,2005
251,287647,3613,0.012560534265957927,505277,9895,0.019583317665359794,2006
251,371222,2762,0.007440291793051059,802516,7204,0.008976768064437344,2007
253,859804,19153,0.02227600708998795,1331022,3618,0.002718212020537602,2008
252,858665,8477,0.009872301770772071,1424775,11800,0.008282009440087031,2009
252,867965,8622,0.00993358027109388,1715138,9254,0.00539548421176605,2010
252,1194290,10015,0.008385735457887114,2361902,16127,0.006827971693999158,2011
250,1782304,20466,0.011482889563172163,3108929,37536,0.012073611201799719,2012
252,3379978,27503,0.00813703521147179,5886251,121872,0.020704519735906608,2013
252,5758224,79545,0.013814155197852672,13697114,335539,0.024497058285416914,2014
252,11773967,222235,0.018875116602586027,28990191,190296,0.006564151302073174,2015
252,19899396,294597,0.01480431868384347,44372579,332245,0.007487619775267063,2016
251,34999361,404752,0.011564553992857184,80081419,1105605,0.013806011604264904,2017
251,61218457,180181,0.0029432463480744053,164147875,1342383,0.00817788838265497,2018
252,61847010,34307,0.0005547074951561927,146501247,473396,0.0032313445086238754,2019
253,145130572,301900,0.0020801957564116815,264995428,819813,0.003093687337126435,2020
252,139581527,55074,0.0003945651060258139,325838938,2225488,0.006830024716076137,2021
251,246573419,25200,0.00010220079724003015,467312131,938848,0.0020090383658369015,2022
250,245441777,37428,0.0001524923770414195,486113590,8479337,0.017443118592919814,2023
252,259357615,121662,0.00046908975470028133,572289493,15997356,0.02795325826469437,2024
165,242721764,78417,0.00032307362433308615,511566242,4293789,0.008393417406146983,2025
