year,run_name,max_round_distance,max_relative_spread,use_bid_ask,test_method,forward_source,delta_filter,verified_settlement_flags,number_of_dates,call_pairs_tested,call_violations,call_violation_rate,put_pairs_tested,put_violations,put_violation_rate
2000,rounded_bid_ask_robust,50.0,,true,rounded,optionmetrics,true,true,252,95844,5,0.000052168106506406246,133324,0,0.0
2000,rounded_mid,50.0,,false,rounded,optionmetrics,true,true,252,95844,331,0.0034535286507240935,133324,166,0.001245087156100927
2000,two_strike_bid_ask_robust,50.0,,true,two_strike,optionmetrics,true,true,252,33003,10,0.00030300275732509166,63654,8,0.00012567945455116726
2000,two_strike_mid,50.0,,false,two_strike,optionmetrics,true,true,252,33003,451,0.013665424355361633,63654,575,0.009033210795865146
2001,rounded_bid_ask_robust,50.0,,true,rounded,optionmetrics,true,true,248,115115,1,8.686965208704338e-6,198100,0,0.0
2001,rounded_mid,50.0,,false,rounded,optionmetrics,true,true,248,115115,237,0.0020588107544629282,198100,95,0.0004795557799091368
2001,two_strike_bid_ask_robust,50.0,,true,two_strike,optionmetrics,true,true,248,45116,3,0.00006649525667169076,96186,8,0.00008317218722059343
2001,two_strike_mid,50.0,,false,two_strike,optionmetrics,true,true,248,45116,533,0.011813990602003725,96186,633,0.006580999313829455
2002,rounded_bid_ask_robust,50.0,,true,rounded,optionmetrics,true,true,252,165130,0,0.0,251157,0,0.0
2002,rounded_mid,50.0,,false,rounded,optionmetrics,true,true,252,165130,370,0.002240658874825895,251157,72,0.00028667327607830956
2002,two_strike_bid_ask_robust,50.0,,true,two_strike,optionmetrics,true,true,252,62031,0,0.0,127126,0,0.0
2002,two_strike_mid,50.0,,false,two_strike,optionmetrics,true,true,252,62031,599,0.009656462091534878,127126,256,0.0020137501376587008
2003,rounded_bid_ask_robust,50.0,,true,rounded,optionmetrics,true,true,252,179117,0,0.0,261116,0,0.0
2003,rounded_mid,50.0,,false,rounded,optionmetrics,true,true,252,179117,145,0.00080952673392252,261116,454,0.0017386908500436587
2003,two_strike_bid_ask_robust,50.0,,true,two_strike,optionmetrics,true,true,252,68935,0,0.0,123067,0,0.0
2003,two_strike_mid,50.0,,false,two_strike,optionmetrics,true,true,252,68935,271,0.003931239573511279,123067,784,0.006370513622660827
2004,rounded_bid_ask_robust,50.0,,true,rounded,optionmetrics,true,true,252,193125,1,5.17799352750809e-6,302514,0,0.0
