date,call_pairs_tested,call_violations,call_violation_rate,put_pairs_tested,put_violations,put_violation_rate,year,call_rate_30d,put_rate_30d
2000-01-03,418,0,0.0,1135,0,0.0,2000,,
2000-01-04,501,1,0.001996007984031936,1268,0,0.0,2000,,
2000-01-05,837,0,0.0,1120,0,0.0,2000,,
2000-01-06,475,0,0.0,594,0,0.0,2000,,
2000-01-07,505,0,0.0,567,10,0.01763668430335097,2000,,
2000-01-10,818,6,0.007334963325183374,785,0,0.0,2000,,
2000-01-11,307,0,0.0,946,0,0.0,2000,,
2000-01-12,423,3,0.0070921985815602835,736,1,0.001358695652173913,2000,,
2000-01-13,328,0,0.0,608,0,0.0,2000,,
2000-01-14,583,0,0.0,735,0,0.0,2000,,
2000-01-18,378,0,0.0,536,0,0.0,2000,,
2000-01-19,499,0,0.0,448,1,0.002232142857142857,2000,,
2000-01-20,216,0,0.0,455,0,0.0,2000,,
2000-01-21,282,0,0.0,321,0,0.0,2000,,
2000-01-24,399,0,0.0,761,0,0.0,2000,,
2000-01-25,517,0,0.0,766,0,0.0,2000,,
2000-01-26,207,0,0.0,479,0,0.0,2000,,
2000-01-27,688,0,0.0,674,0,0.0,2000,,
2000-01-28,729,7,0.009602194787379973,1166,0,0.0,2000,,
2000-01-31,948,0,0.0,983,0,0.0,2000,,
2000-02-01,761,0,0.0,570,0,0.0,2000,,
2000-02-02,846,6,0.0070921985815602835,598,0,0.0,2000,,
2000-02-03,634,0,0.0,648,0,0.0,2000,,
2000-02-04,554,0,0.0,669,0,0.0,2000,,
2000-02-07,219,0,0.0,523,0,0.0,2000,,
2000-02-08,459,0,0.0,715,0,0.0,2000,,
2000-02-09,656,2,0.003048780487804878,585,0,0.0,2000,,
2000-02-10,348,0,0.0,708,0,0.0,2000,,
2000-02-11,626,13,0.020766773162939296,665,0,0.0,2000,,
2000-02-14,469,0,0.0,461,0,0.0,2000,0.0018977705636820008,0.0007075840937555912
2000-02-15,565,2,0.0035398230088495575,525,0,0.0,2000,0.002015764663976986,0.0007075840937555912
2000-02-16,424,2,0.0047169811320754715,448,0,0.0,2000,0.002106463768911771,0.0007075840937555912
2000-02-17,358,2,0.00558659217877095,373,0,0.0,2000,0.0022926835082041357,0.0007075840937555912
2000-02-18,414,3,0.007246376811594203,318,0,0.0,2000,0.0025342294019239427,0.0007075840937555912
2000-02-22,695,0,0.0,775,2,0.0025806451612903226,2000,0.0025342294019239427,0.00020571612235356976
2000-02-23,336,0,0.0,651,0,0.0,2000,0.0022897306244178297,0.00020571612235356976
2000-02-24,396,0,0.0,790,0,0.0,2000,0.0022897306244178297,0.00020571612235356976
2000-02-25,221,0,0.0,484,0,0.0,2000,0.002053324005032487,0.000160426267281106
2000-02-28,441,1,0.0022675736961451248,614,0,0.0,2000,0.002128909794903991,0.000160426267281106
2000-02-29,385,0,0.0,321,0,0.0,2000,0.002128909794903991,0.000160426267281106
2000-03-01,376,2,0.005319148936170213,329,0,0.0,2000,0.002306214759442998,0.000160426267281106
2000-03-02,359,0,0.0,398,0,0.0,2000,0.002306214759442998,0.00008602150537634408
2000-03-03,527,0,0.0,663,0,0.0,2000,0.002306214759442998,0.00008602150537634408
2000-03-06,334,0,0.0,429,0,0.0,2000,0.002306214759442998,0.00008602150537634408
2000-03-07,317,2,0.006309148264984227,812,0,0.0,2000,0.0025165197016091393,0.00008602150537634408
2000-03-08,295,0,0.0,618,0,0.0,2000,0.0025165197016091393,0.00008602150537634408
2000-03-09,574,0,0.0,543,2,0.003683241252302026,2000,0.0025165197016091393,0.0002087962137864116
2000-03-10,370,0,0.0,631,0,0.0,2000,0.0025165197016091393,0.0002087962137864116
2000-03-13,210,0,0.0,621,0,0.0,2000,0.002196446542029807,0.0002087962137864116
2000-03-14,413,1,0.002421307506053269,785,0,0.0,2000,0.0022771567922315822,0.0002087962137864116
2000-03-15,604,0,0.0,633,0,0.0,2000,0.0022771567922315822,0.0002087962137864116
2000-03-16,535,0,0.0,991,6,0.006054490413723511,2000,0.0020407501728462395,0.00041061256091052867
2000-03-17,551,0,0.0,956,0,0.0,2000,0.0020407501728462395,0.00041061256091052867
2000-03-20,332,0,0.0,781,0,0.0,2000,0.0020407501728462395,0.00041061256091052867
2000-03-21,308,0,0.0,707,0,0.0,2000,0.0020407501728462395,0.00041061256091052867
2000-03-22,524,0,0.0,891,0,0.0,2000,0.0020407501728462395,0.00041061256091052867
2000-03-23,559,0,0.0,1315,0,0.0,2000,0.001939124156586077,0.00041061256091052867
2000-03-24,612,0,0.0,1268,1,0.0007886435331230284,2000,0.001939124156586077,0.00043690067868129627
2000-03-27,397,0,0.0,900,0,0.0,2000,0.0012468983844881006,0.00043690067868129627
2000-03-28,624,0,0.0,1067,0,0.0,2000,0.0012468983844881006,0.00043690067868129627
2000-03-29,346,0,0.0,628,0,0.0,2000,0.0011289042841931155,0.00043690067868129627
2000-03-30,476,0,0.0,889,0,0.0,2000,0.0009716715797905996,0.00043690067868129627
2000-03-31,543,1,0.001841620626151013,742,0,0.0,2000,0.0008468391947032682,0.00043690067868129627
2000-04-03,344,0,0.0,554,1,0.0018050541516245488,2000,0.0006052933009834615,0.0004970691504021146
2000-04-04,915,0,0.0,1249,0,0.0,2000,0.0006052933009834615,0.0004110476450257704
2000-04-05,473,0,0.0,607,0,0.0,2000,0.0006052933009834615,0.0004110476450257704
2000-04-06,399,0,0.0,702,0,0.0,2000,0.0006052933009834615,0.0004110476450257704
2000-04-07,447,0,0.0,757,0,0.0,2000,0.0006052933009834615,0.0004110476450257704
2000-04-10,315,0,0.0,566,0,0.0,2000,0.0005297075111119574,0.0004110476450257704
2000-04-11,289,0,0.0,506,0,0.0,2000,0.0005297075111119574,0.0004110476450257704
2000-04-12,487,0,0.0,913,0,0.0,2000,0.0003524025465729503,0.0004110476450257704
2000-04-13,449,4,0.008908685968819599,1163,0,0.0,2000,0.0006493587455336035,0.0004110476450257704
2000-04-14,1176,47,0.039965986394557826,2160,0,0.0,2000,0.0019815582920188644,0.0004110476450257704
2000-04-17,731,4,0.005471956224350205,1128,1,0.0008865248226950354,2000,0.002163956832830538,0.0004405984724489383
2000-04-18,763,0,0.0,1073,2,0.001863932898415657,2000,0.001953651890664397,0.0005027295690627936
2000-04-19,492,3,0.006097560975609756,439,0,0.0,2000,0.0021569039231847226,0.0005027295690627936
2000-04-20,228,0,0.0,377,0,0.0,2000,0.0021569039231847226,0.000379954860652726
2000-04-24,237,0,0.0,393,0,0.0,2000,0.0021569039231847226,0.000379954860652726
2000-04-25,394,0,0.0,673,1,0.0014858841010401188,2000,0.0021569039231847226,0.0004294843306873966
2000-04-26,402,0,0.0,485,0,0.0,2000,0.0020761936729829468,0.0004294843306873967
2000-04-27,316,0,0.0,592,0,0.0,2000,0.0020761936729829468,0.0004294843306873967
2000-04-28,395,0,0.0,644,0,0.0,2000,0.0020761936729829468,0.0002276679835632796
2000-05-01,283,0,0.0,490,0,0.0,2000,0.0020761936729829468,0.0002276679835632796
2000-05-02,328,0,0.0,645,0,0.0,2000,0.0020761936729829468,0.0002276679835632796
2000-05-03,726,0,0.0,894,0,0.0,2000,0.0020761936729829468,0.0002276679835632796
2000-05-04,383,0,0.0,624,0,0.0,2000,0.0020761936729829468,0.0002276679835632796
2000-05-05,289,0,0.0,352,0,0.0,2000,0.0020761936729829468,0.0002276679835632796
2000-05-08,238,0,0.0,347,0,0.0,2000,0.0020761936729829468,0.000201379865792512
2000-05-09,298,1,0.003355704697986577,369,0,0.0,2000,0.002188050496249166,0.000201379865792512
2000-05-10,707,15,0.021216407355021217,849,0,0.0,2000,0.002895264074749873,0.000201379865792512
2000-05-11,529,1,0.001890359168241966,478,0,0.0,2000,0.0029582760470246053,0.000201379865792512
2000-05-12,382,0,0.0,344,0,0.0,2000,0.0029582760470246053,0.000201379865792512
2000-05-15,411,0,0.0,467,2,0.004282655246252677,2000,0.002896888692819572,0.0003441350406676012
2000-05-16,697,0,0.0,593,3,0.00505902192242833,2000,0.002896888692819572,0.0004526006330277273
2000-05-17,380,4,0.010526315789473684,341,2,0.005865102639296188,2000,0.003247765885802028,0.0006481040543376002
2000-05-18,195,0,0.0,311,0,0.0,2000,0.003247765885802028,0.0006481040543376002
2000-05-19,390,0,0.0,426,0,0.0,2000,0.003247765885802028,0.0006481040543376002
2000-05-22,828,0,0.0,761,0,0.0,2000,0.003247765885802028,0.0006481040543376002
2000-05-23,559,4,0.007155635062611807,497,0,0.0,2000,0.0034862870545557547,0.0006481040543376002
2000-05-24,794,0,0.0,677,0,0.0,2000,0.0034862870545557547,0.0006481040543376002
2000-05-25,614,5,0.008143322475570033,324,0,0.0,2000,0.003757731137074756,0.0006481040543376002
2000-05-26,445,0,0.0,288,0,0.0,2000,0.0034607749381141023,0.0006481040543376002
2000-05-30,753,0,0.0,530,0,0.0,2000,0.0021285753916288415,0.0006481040543376002
