stage,specification,cp_flag,denomination,mean_return,sharpe,maximum_drawdown,maximum_daily_loss
1,Paper baseline,C,K2,0.93705945644463,0.8782350241985867,0.1612823471458431,0.1612823471458431
1,Paper baseline,C,T1,0.8490258566846896,1.4923778404816443,0.0122534970805932,0.0122534970805932
1,Paper baseline,P,K1,0.5168337298668553,0.5195763532816073,0.2934703554178466,0.2934703554178466
1,Paper baseline,P,T1,0.2865468958330026,1.6160529986640138,0.060260686338239555,0.060260686338239555
2,Marked portfolio equity,C,K2,0.9540714259598037,0.813851747595742,0.4709692365219039,0.29256542125014706
2,Marked portfolio equity,C,T1,0.8738927474262457,1.3810016115991095,0.2503596120068483,0.1621210082529294
2,Marked portfolio equity,P,K1,0.5073244363818452,0.6268318744034451,0.5846534321687138,0.3472447762384395
2,Marked portfolio equity,P,T1,0.2825016577938439,1.4926908872279763,1.3691788408534817,21.594706900515416
3,Same-day bid-ask,C,K2,0.09899210605106443,0.17701963392679027,0.9822840473662743,0.30406443216333623
3,Same-day bid-ask,C,T1,-0.036075660594363956,-0.0066923256290157855,0.9869306976988125,0.21321821498176974
3,Same-day bid-ask,P,K1,0.02408760947617339,-0.020655681501861756,0.9706070869051996,0.36235193396838516
3,Same-day bid-ask,P,T1,-0.20200790031309732,-1.3188474957745813,1.0012746987763697,1.5785804242241621
4,Next-day bid-ask,C,K2,0.03716251248352516,0.12087470740966279,0.9810037411867915,0.30382445065682684
4,Next-day bid-ask,C,T1,-0.08893478978726362,-0.11129789404213968,0.9912084537140307,0.1726810747692442
4,Next-day bid-ask,P,K1,-0.17108170419500576,-0.3276846524522726,1.0053906899402452,5.559481792669546
4,Next-day bid-ask,P,T1,-0.2507851437163703,-1.5907755806536514,1.001978542001024,2.667971076602136
5,"Mid-signal, liquid next-day",C,K2,0.03130023746013548,0.25441354119141407,0.10988857146978248,0.03362041571860286
5,"Mid-signal, liquid next-day",C,T1,0.006549750622850181,0.3356145279619477,0.0548108820808646,0.02863851276438989
5,"Mid-signal, liquid next-day",P,K1,-0.02097693115619505,0.04002362246315259,1.8802161745566104,19.299842837898797
5,"Mid-signal, liquid next-day",P,T1,-0.009780133177391376,-0.05109745367978579,1.3271859189998152,4.512030422575284
6,"Bid-ask robust signal, liquid next-day",C,K2,0.0027904610640262896,0.24099972377429296,0.02292951132664367,0.011975587071246241
6,"Bid-ask robust signal, liquid next-day",C,T1,0.004022944262074302,0.5011253218064224,0.016180193310831537,0.013576849892230292
6,"Bid-ask robust signal, liquid next-day",P,K1,0.0011635416120843456,0.16800991517677152,0.10389982728500158,0.07680624997444907
6,"Bid-ask robust signal, liquid next-day",P,T1,0.0025083094662714466,0.5150455513819938,0.03746295476597383,0.03154793844620518
