year,call_T1_return,call_K2_return,call_T1_sharpe,call_K2_sharpe,put_T1_return,put_K1_return,put_T1_sharpe,put_K1_sharpe
2000,4.52,4.46,3.21,3.25,1.32,1.32,2.04,2.04
2001,3.17,2.55,3.47,3.01,0.36,22.35,2.86,1.04
2002,4.84,4.87,3.53,3.53,0.2,0.47,1.64,1.53
2003,1.03,1.47,2.22,1.88,2.5,2.36,4.03,4.81
2004,24.57,19.91,2.97,4.57,12.45,9.93,4.68,4.76
2005,53.38,44.48,1.97,3.43,26.75,17.59,3.76,11.28
2006,32.67,45.75,6.41,5.8,24.54,19.23,6.74,8.29
2007,56.05,80.23,1.4,1.85,34.6,11.44,1.56,6.39
2008,28.9,19.27,4.01,5.36,23.83,414.04,2.29,1.09
2009,40.16,83.67,2.51,2.25,12.25,12.24,14.06,14.48
2010,31.08,47.07,4.93,3.69,39.85,21.1,1.24,1.65
2011,29.31,44.02,3.96,2.55,13.81,66.82,3.56,1.2
2012,53.95,41.66,6.1,8.61,11.3,11.92,8.54,3.87
2013,234.56,86.91,2.4,3.81,13.37,10.04,13.12,12.82
2014,302.68,124.56,2.24,1.61,25.57,13.51,4.11,17.3
2015,72.88,63.78,4.87,6.85,19.09,16.95,4.73,4.46
2016,187.14,91.33,2.43,4.05,26.29,14.35,2.78,8.56
2017,161.03,169.42,4.0,4.01,12.33,9.42,9.53,11.16
2018,152.19,422.9,1.2,1.1,77.17,25.77,1.67,1.64
2019,48.31,13.5,1.89,5.04,10.1,14.89,6.87,2.09
2020,37.64,41.51,2.15,2.28,39.52,106.27,1.8,1.39
2021,84.13,85.64,2.41,1.88,21.91,10.25,2.99,11.27
2022,2.69,6.05,3.92,1.31,57.1,34.65,1.34,1.49
